,PHISH,,HHIPS,1
,PHIZZ,,HIPZZ,1
,PIANI,c,AIINP,1
,PIEZO,,EIOPZ,1
,PIPAS,,AIPPS,1
,PISSY,,IPSSY,1
,PITOT,s,IOPTT,1
,PLOYE,ds,ELOPY,1
,PLUOT,s,LOPTU,1
,POGOS,,GOOPS,1
,POMBE,s,BEMOP,1
,PONCY,,CNOPY,1
,PONGO,s,GNOOP,1
s,PONGY,,GNOPY,1
,PONZU,s,NOPUZ,1
,POOJA,s,AJOOP,1
,POOKA,s,AKOOP,1
,POOPY,,OOPPY,1
,PORIN,gs,INOPR,1
,POSEY,,EOPSY,1
,PRANA,s,AANPR,1
,PROBS,,BOPRS,1
,PUDGE,s,DEGPU,1
,PUDUS,,DPSUU,1
,PUKEY,,EKPUY,1
,PULAO,s,ALOPU,1
,PULAS,,ALPSU,1
,PULKA,s,AKLPU,1
,PULKS,,KLPSU,1
,PZAZZ,,APZZZ,1
,QAJAQ,s,AAJQQ,1
,QIBLA,s,ABILQ,1
,RAGER,s,AEGRR,1
,RAGGA,s,AAGGR,1
,RAMIN,s,AIMNR,1
opw,RANGS,,AGNRS,1
,RAVEY,,AERVY,1
,REDDY,,DDERY,1
,REGIE,s,EEGIR,1
,REIKI,s,EIIKR,1
,RENOS,,ENORS,1
,REORG,s,EGORR,1
,RESES,,EERSS,1
p,REZES,,EERSZ,1
,RONDE,ls,DENOR,1
,RONIN,s,INNOR,1
,ROSTI,s,IORST,1
,RUBLI,,BILRU,1
,RUKHS,,HKRSU,1
d,RUMLY,,LMRUY,1
,SAKTI,s,AIKST,1
,SALAT,s,AALST,1
,SALUT,e,ALSTU,1
,SAMEY,,AEMSY,1
,SAMFU,s,AFMSU,1
,SCOPA,e,ACOPS,1
,SCRAN,s,ACNRS,1
,SCROB,s,BCORS,1
,SEIZA,s,AEISZ,1
,SEMEE,,EEEMS,1
,SENES,,EENSS,1
,SENTS,,ENSST,1
,SEXER,s,EERSX,1
,SHERO,,EHORS,1
,SHITE,s,EHIST,1
,SHIUR,,HIRSU,1
,SHMOE,s,EHMOS,1
,SHOJO,,HJOOS,1
,SHTUM,,HMSTU,1
,SHTUP,s,HPSTU,1
,SHURA,s,AHRSU,1
,SICKY,,CIKSY,1
,SIXER,s,EIRSX,1
,SKEDS,,DEKSS,1
,SKOLS,,KLOSS,1
,SLOMO,s,LMOOS,1
,SMORG,s,GMORS,1
,SOCES,,CEOSS,1
,SOJUS,,JOSSU,1
,SOLAS,,ALOSS,1
a,SPECT,s,CEPST,1
,SPROG,s,GOPRS,1
,STONK,s,KNOST,1
,SUETE,s,EESTU,1
,SUKHS,,HKSSU,1
,SUMIS,,IMSSU,1
,SUSED,,DESSU,1
,SUSES,,ESSSU,1
,SWILE,rs,EILSW,1
,SYCON,s,CNOSY,1
,TACAN,s,AACNT,1
,TAIKO,s,AIKOT,1
,TALCY,,ACLTY,1
,TARGA,s,AAGRT,1
,TASED,,ADEST,1
,TASER,s,AERST,1
s,TASES,,AESST,1
,TASSO,s,AOSST,2
,TAYRA,s,AARTY,1
,TEGUS,,EGSTU,1
s,TEINS,,EINST,1
,TENNE,rs,EENNT,1
,TENNO,s,ENNOT,1
,TENNY,,ENNTY,1
s,TERES,,EERST,1
,THALI,s,AHILT,1
,THANG,s,AGHNT,1
,TIANS,,AINST,1
s,TITCH,y,CHITT,1
,TIYIN,s,IINTY,1
,TIYNS,,INSTY,1
,TIZES,,EISTZ,1
s,TOCKS,,CKOST,1
,TOCOS,,COOST,1
,TOLTS,,LOSTT,1
,TOSAS,,AOSST,2
,TOTTY,,OTTTY,1
,TRADS,,ADRST,1
,TRAYF,,AFRTY,1
,TREFA,h,AEFRT,1
,TREMS,,EMRST,1
,TREYF,a,EFRTY,1
,TSUBO,s,BOSTU,1
,TUILE,s,EILTU,1
,TULSI,s,ILSTU,1
,TURRS,,RRSTU,1
,TUSKY,,KSTUY,1
,TWEEP,s,EEPTW,1
,TWEER,,EERTW,1
,TWINK,sy,IKNTW,1
,UMMAH,s,AHMMU,1
gs,UMMAS,,AMMSU,1
bghms,UMMED,,DEMMU,1
bh,UMPHS,,HMPSU,1
,UMPTY,,MPTUY,1
,UNDOS,,DNOSU,1
t,UNICA,,ACINU,1
,VAREC,s,ACERV,1
,VEGAS,,AEGSV,1
,VENDU,es,DENUV,1
,VIFFS,,FFISV,1
,VIVAT,s,AITVV,1
,VLEIS,,EILSV,1
,VLOGS,,GLOSV,1
,VOLKS,,KLOSV,1
,VOXEL,s,ELOVX,1
,VULNS,,LNSUV,1
,WALIS,,AILSW,1
,WAREZ,,AERWZ,1
,WETAS,,AESTW,1
,WHYDA,hs,ADHWY,1
,WIKIS,,IIKSW,1
s,WOOPY,,OOPWY,1
,WOWEE,,EEOWW,1
,YAGES,,AEGSY,1
,YAPPY,,APPYY,1
,YARAK,s,AAKRY,1
,YEESH,,EEHSY,1
,YOBBY,,BBOYY,1
,YOMPS,,MOPSY,1
,YONKS,,KNOSY,1
,YOOFS,,FOOSY,1
,YUZUS,,SUUYZ,1
,ZAIDA,s,AADIZ,1
,ZAIDY,,ADIYZ,1
,ZAKAT,s,AAKTZ,1
,ZEDAS,,ADESZ,1
,ZENDO,s,DENOZ,1
,ZINCO,s,CINOZ,1
,ZIPPO,s,IOPPZ,1
,ZOWEE,,EEOWZ,1
,ZUPPA,s,APPUZ,1
,ADBOTS,,ABDOST,1
b,ADLAND,s,AADDLN,1
,ADMINS,,ADIMNS,1
,ADSUKI,s,ADIKSU,1
,ADWARE,s,AADERW,1
,AGLOOS,,AGLOOS,1
,AIRVAC,s,AACIRV,1
,AKEBIA,s,AABEIK,1
,ALCOOL,s,ACLLOO,1
,ALEXIC,,ACEILX,1
,ALLIAK,s,AAIKLL,1
,ALVARS,,AALRSV,1
,AMAUTI,ks,AAIMTU,1
r,AMENTA,,AAEMNT,1
,AMINOS,,AIMNOS,1
,AMRITS,,AIMRST,1
,AMTRAK,s,AAKMRT,1
,ANANDA,s,AAADNN,1
,ANGSTY,,AGNSTY,1
,ANTHRO,s,AHNORT,1
,APEMAN,,AAEMNP,1
,APEMEN,,AEEMNP,1
,APHONY,,AHNOPY,1
,APPLEY,,AELPPY,1
,ARABIS,,AABIRS,1
,ARTIGI,s,AGIIRT,1
,ARTSIE,rs,AEIRST,1
gm,ASCONS,,ACNOSS,1
,ASHINE,,AEHINS,2
,ASHPAN,s,AAHNPS,1
,ASKARI,s,AAIKRS,1
,ASURAS,,AARSSU,1
,ATIGIS,,AGIIST,1
,AUMBRY,,ABMRUY,1
,AYAYAS,,AAASYY,1
,BABACU,s,AABBCU,1
,BAIDAR,s,AABDIR,1
,BALDIE,s,ABDEIL,1
,BALTIS,,ABILST,1
,BARBOT,s,ABBORT,1
,BARFIS,,ABFIRS,1
,BASSER,,ABERSS,1
,BATARD,s,AABDRT,1
,BATATA,s,AAABTT,1
,BAYEST,,ABESTY,1
,BAYWOP,s,ABOPWY,1
,BAZOOM,s,ABMOOZ,1
,BAZZED,,ABDEZZ,1
,BAZZES,,ABESZZ,1
,BEGEMS,,BEEGMS,1
,BEIGER,,BEEGIR,1
,BERBER,s,BBEERR,1
,BETCHA,,ABCEHT,1
,BHAJIS,,ABHIJS,1
,BIFIDA,,ABDFII,1
,BIMINI,s,BIIIMN,1
,BINMAN,,ABIMNN,1
,BINMEN,,BEIMNN,1
,BISHES,,BEHISS,1
,BLAGUE,s,ABEGLU,1
,BLAHER,,ABEHLR,1
,BLEWIT,s,BEILTW,1
a,BLINGS,,BGILNS,1
,BLOBBY,,BBBLOY,2
,BLOKEY,,BEKLOY,1
,BLOOPY,,BLOOPY,1
,BOBBLY,,BBBLOY,2
,BOEUFS,,BEFOSU,1
,BOKKEN,s,BEKKNO,1
,BOLDED,,BDDELO,1
,BONCES,,BCENOS,1
,BOONER,,BENOOR,1
,BOSSER,,BEORSS,1
,BOTHIE,s,BEHIOT,1
,BOULTS,,BLOSTU,1
,BOVVER,s,BEORVV,1
,BOWSAW,s,ABOSWW,1
,BOWSER,s,BEORSW,1
,BOXLAS,,ABLOSX,1
,BRIDIE,s,BDEIIR,1
,BROAST,s,ABORST,1
,BROCHS,,BCHORS,1
,BROLGA,s,ABGLOR,1
,BRUTER,,BERRTU,1
,BUBBES,,BBBESU,1
,BUBBIE,s,BBBEIU,1
,BULGAR,s,ABGLRU,1
,BULKER,s,BEKLRU,1
,BULLEY,s,BELLUY,1
,BUMBAG,s,ABBGMU,1
,BUMBOY,s,BBMOUY,1
,BUMWAD,s,ABDMUW,1
,BUNKIE,s,BEIKNU,1
,BUNYIP,s,BINPUY,1
,BUPKIS,,BIKPSU,1
,BURFIS,,BFIRSU,1
,BURKHA,s,ABHKRU,1
,BURPEE,s,BEEPRU,1
,BURSTY,,BRSTUY,1
,BUSTEE,s,BEESTU,1
,BUTOHS,,BHOSTU,1
,BUTTLE,ds,BELTTU,1
,CAFARD,s,AACDFR,1
,CAHOUN,s,ACHNOU,1
s,CAPING,,ACGINP,1
,CAPOTS,,ACOPST,1
,CAURIS,,ACIRSU,1
,CAZHER,,ACEHRZ,1
,CHANAS,,AACHNS,1
,CHEVET,s,CEEHTV,1
,CHICOT,s,CCHIOT,1
,CHINGS,,CGHINS,1
,CHINSE,ds,CEHINS,1
,CHOILS,,CHILOS,2
,CHOLIS,,CHILOS,2
,CHUSED,,CDEHSU,1
,CHUSES,,CEHSSU,1
,CIGGIE,s,CEGGII,1
,CLONKY,,CKLNOY,1
,COADYS,,ACDOSY,1
,COHOES,,CEHOOS,1
,COLTAN,s,ACLNOT,1
,COMBIS,,BCIMOS,1
,COMMIS,h,CIMMOS,1
,COMMOS,,CMMOOS,1
,COMSAT,s,ACMOST,2
,CONNOR,s,CNNOOR,1
,CONURE,s,CENORU,1
,COQUIS,,CIOQSU,1
,COROZO,s,COOORZ,1
,COUDES,,CDEOSU,1
,COVINE,s,CEINOV,1
,COYAUS,,ACOSUY,1
,CROONY,,CNOORY,1
,CRUDOS,,CDORSU,1
,CRUFTS,,CFRSTU,1
,CRUISY,,CIRSUY,1
,CRUNKS,,CKNRSU,1
s,CRYERS,,CERRSY,2
,CUBBED,,BBCDEU,1
,CUEIST,s,CEISTU,1
,CULMEN,,CELMNU,1
,CUNITS,,CINSTU,1
s,CUZZES,,CESUZZ,1
,DANCEY,,ACDENY,1
,DANSAK,s,AADKNS,1
,DEBURR,s,BDERRU,1
,DEBURS,,BDERSU,1
,DECANI,,ACDEIN,1
,DECANS,,ACDENS,1
,DEHAIR,s,ADEHIR,1
,DEHORS,,DEHORS,1
,DELINK,s,DEIKLN,1
,DEMIST,s,DEIMST,1
,DESEED,s,DDEEES,1
,DESHIS,,DEHISS,1
,DETUNE,ds,DEENTU,1
,DHIKRS,,DHIKRS,1
,DHOLAK,s,ADHKLO,1
,DHURRA,s,ADHRRU,1
,DHYANA,s,AADHNY,1
,DIAZOS,,ADIOSZ,1
,DINGOS,,DGINOS,1
,DISKER,s,DEIKRS,2
,DISOMY,,DIMOSY,1
,DJEMBE,s,BDEEJM,1
,DJIBBA,hs,ABBDIJ,1
,DODDLE,s,DDDELO,1
,DOGANS,,ADGNOS,1
,DONAIR,s,ADINOR,1
